Requisition Number,Recorded by,Received Date,Received Time,Status,Status Text,Status Date,Status Time,Priority,Priority Text,Category,Category Text,Problem,Problem Text,Department,Department Text,Division,Division Text,Related Asset Type,After Hours,Call Back Requested,Billing Flag,Projected Start Date,Facility Building,Facility Building Text,Location,Location Text,Primary Residence,Street Number,Street Direction,Street Name,Street Type,Street Suffix,Street 2 Direction,Street 2 Name,Street 2 Type,Other Location Information
19-000527,Person 15,7/19/2019 0:00,1/1/1900 12:29,999,Completed,8/27/2019 0:00,1/1/1900 13:36,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1911,,Weaver,St,,,,,
19-000526,Person 15,7/18/2019 0:00,1/1/1900 15:18,999,Completed,7/25/2019 0:00,1/1/1900 9:40,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,401,W,Pennsylvania,Ave,,,,,
19-000525,Person 1,7/18/2019 0:00,1/1/1900 14:40,999,Completed,8/12/2019 0:00,1/1/1900 10:55,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,105,,Willard,St,,,,,
19-000524,Person 15,7/18/2019 0:00,1/1/1900 12:33,999,Completed,7/24/2019 0:00,1/1/1900 10:13,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,409,,Griggs,St,,,,,
19-000523,Person 3,7/17/2019 0:00,1/1/1900 16:40,999,Completed,8/7/2019 0:00,1/1/1900 10:30,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,TRUE,1408,,Beech,St,,,,,
19-000521,Person 1,7/17/2019 0:00,1/1/1900 13:33,999,Completed,8/26/2019 0:00,1/1/1900 5:55,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,207,W,High,St,,,,,
19-000520,Person 3,7/17/2019 0:00,1/1/1900 11:55,999,Completed,8/26/2019 0:00,1/1/1900 13:22,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,7/25/2019 0:00,,,,,FALSE,402,W,Main,St,,,Central,Ave,
19-000517,Person 15,7/16/2019 0:00,1/1/1900 14:10,999,Completed,7/25/2019 0:00,1/1/1900 10:47,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,407,W,Illinois,St,,,,,between 407 and 409 W Illinois
19-000516,Person 1,7/16/2019 0:00,1/1/1900 13:36,999,Completed,7/19/2019 0:00,1/1/1900 7:12,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,40,,Evergreen,Ct,West,,,,
19-000515,Person 1,7/16/2019 0:00,1/1/1900 12:55,951,WO Cancelled,9/11/2019 0:00,1/1/1900 5:47,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1003,S,Race,St,,,,,
19-000513,Person 15,7/15/2019 0:00,1/1/1900 16:36,2,Assigned to WO,7/24/2019 0:00,1/1/1900 10:16,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,506,,Eliot,Dr,,,,,
19-000511,Person 3,7/15/2019 0:00,1/1/1900 13:14,951,WO Cancelled,7/25/2019 0:00,1/1/1900 10:44,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,FALSE,208,W,Oregon,St,,,,,
19-000510,Person 15,7/15/2019 0:00,1/1/1900 11:43,999,Completed,7/19/2019 0:00,1/1/1900 7:13,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,404,W,Vermont,Ave,,,,,
19-000509,Person 1,7/15/2019 0:00,1/1/1900 11:12,999,Completed,7/19/2019 0:00,1/1/1900 7:14,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,306,S,Coler,Ave,,,,,
19-000507,Person 15,7/15/2019 0:00,1/1/1900 9:08,999,Completed,7/15/2019 0:00,1/1/1900 13:23,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,804,,Indiana,Ave,,,,,
19-000504,Person 1,7/12/2019 0:00,1/1/1900 14:28,998,WO Completed,8/19/2019 0:00,1/1/1900 8:02,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,FALSE,1010,,Springfield,Ave,,,Harvey,St,
19-000503,Person 1,7/12/2019 0:00,1/1/1900 9:43,999,Completed,7/12/2019 0:00,1/1/1900 13:40,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,1004,S,Lynn,St,,,,,
19-000501,Person 1,7/11/2019 0:00,1/1/1900 13:03,999,Completed,7/12/2019 0:00,1/1/1900 13:39,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,503,W,Michigan,Ave,,,,,
19-000500,Person 15,7/10/2019 0:00,1/1/1900 16:00,999,Completed,7/25/2019 0:00,1/1/1900 6:27,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1010,,Clark,St,,,,,
19-000498,Person 15,7/10/2019 0:00,1/1/1900 14:21,998,WO Completed,8/16/2019 0:00,1/1/1900 8:08,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,911,,Springfield,Ave,,,,,
19-000497,Person 15,7/10/2019 0:00,1/1/1900 10:29,999,Completed,7/15/2019 0:00,1/1/1900 13:24,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,708,W,California,Ave,,,,,
19-000496,Person 3,7/9/2019 0:00,1/1/1900 16:18,999,Completed,7/11/2019 0:00,1/1/1900 10:00,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,710,,Ohio,St,,,,,
19-000493,Person 15,7/9/2019 0:00,1/1/1900 11:00,999,Completed,7/10/2019 0:00,1/1/1900 10:03,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,206,W,Michigan,Ave,,,,,
19-000492,Person 1,7/8/2019 0:00,1/1/1900 14:30,999,Completed,7/9/2019 0:00,1/1/1900 13:40,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,404,W,Vermont,Ave,,,,,
19-000490,Person 1,7/8/2019 0:00,1/1/1900 10:53,1,New Request,7/8/2019 0:00,1/1/1900 10:53,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2501,,Brookens,Cir,,,,,
19-000487,Person 1,7/8/2019 0:00,1/1/1900 7:48,1,New Request,7/8/2019 0:00,1/1/1900 7:48,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,102,E,McHenry,St,,,,,
19-000485,Person 15,7/5/2019 0:00,1/1/1900 14:32,999,Completed,7/9/2019 0:00,1/1/1900 5:49,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,FALSE,904,E,Michigan,Ave,,,,,
19-000483,Person 15,7/3/2019 0:00,1/1/1900 10:31,999,Completed,7/8/2019 0:00,1/1/1900 5:52,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,601,E,California,Ave,,,,,
19-000481,Person 1,7/3/2019 0:00,1/1/1900 8:29,999,Completed,7/8/2019 0:00,1/1/1900 5:53,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,401,W,High,St,,,,,
19-000480,Person 3,7/2/2019 0:00,1/1/1900 15:54,999,Completed,8/12/2019 0:00,1/1/1900 11:19,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1204,,Carle,Ave,,,,,
19-000479,Person 3,7/2/2019 0:00,1/1/1900 13:42,999,Completed,7/9/2019 0:00,1/1/1900 5:50,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,304,W,Illinois,St,,,,,
19-000478,Person 3,7/2/2019 0:00,1/1/1900 13:21,999,Completed,7/9/2019 0:00,1/1/1900 5:50,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,304,W,Illinois,St,,,,,
19-000476,Person 15,7/2/2019 0:00,1/1/1900 9:16,999,Completed,7/11/2019 0:00,1/1/1900 9:59,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2521,,St Andrews,Rd,,,,,
19-000475,Person 1,7/2/2019 0:00,1/1/1900 9:16,999,Completed,7/8/2019 0:00,1/1/1900 5:50,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,705,W,Pennsylvania,Ave,,,,,
19-000474,Person 15,7/2/2019 0:00,1/1/1900 9:13,999,Completed,7/9/2019 0:00,1/1/1900 5:51,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1004,S,Lynn,St,,,,,
19-000473,Person 1,7/2/2019 0:00,1/1/1900 9:02,999,Completed,7/9/2019 0:00,1/1/1900 13:42,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1004,W,Main,St,,,,,
19-000472,Person 15,7/2/2019 0:00,1/1/1900 8:29,999,Completed,7/9/2019 0:00,1/1/1900 5:51,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1605,,Montgomery,St,,,,,
19-000470,Person 1,7/2/2019 0:00,1/1/1900 8:04,999,Completed,7/9/2019 0:00,1/1/1900 13:43,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,S,Lincoln,Ave,,W,Vermont,Ave,
19-000466,Person 15,7/1/2019 0:00,1/1/1900 14:23,999,Completed,7/8/2019 0:00,1/1/1900 5:45,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,109,,Franklin,St,,,,,empty lot next to 111 Franklin
19-000463,Person 3,7/1/2019 0:00,1/1/1900 14:14,999,Completed,7/9/2019 0:00,1/1/1900 13:42,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,Killarney,St,,N,Lincoln,Ave,between Rodeway Inn and Urbana Gardens
19-000462,Person 15,7/1/2019 0:00,1/1/1900 14:09,999,Completed,7/8/2019 0:00,1/1/1900 5:56,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,607,W,Nevada,St,,,,,
19-000461,Person 1,7/1/2019 0:00,1/1/1900 13:26,999,Completed,7/8/2019 0:00,1/1/1900 5:56,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,604,W,Pennsylvania,Ave,,,,,
19-000460,Person 3,7/1/2019 0:00,1/1/1900 13:12,999,Completed,7/8/2019 0:00,1/1/1900 5:57,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,FALSE,810,,Fairview,Ave,,,,,
19-000459,Person 15,7/1/2019 0:00,1/1/1900 12:30,999,Completed,7/2/2019 0:00,1/1/1900 5:32,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,402,W,Delaware,Ave,,,Carle,Ave,
19-000458,Person 15,7/1/2019 0:00,1/1/1900 11:54,999,Completed,7/8/2019 0:00,1/1/1900 6:03,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,W,Oregon,St,,,Wabash,Ave,the corner of Oregon and Wabash
19-000457,Person 15,7/1/2019 0:00,1/1/1900 10:25,999,Completed,7/8/2019 0:00,1/1/1900 5:58,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,606,W,Nevada,St,,,,,
19-000456,Person 1,7/1/2019 0:00,1/1/1900 10:23,999,Completed,7/2/2019 0:00,1/1/1900 5:32,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,113,N,Webber,St,,,,,
19-000455,Person 3,7/1/2019 0:00,1/1/1900 10:21,999,Completed,7/8/2019 0:00,1/1/1900 6:02,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,605,E,Illinois,St,,,,,
19-000454,Person 3,7/1/2019 0:00,1/1/1900 10:20,999,Completed,7/8/2019 0:00,1/1/1900 6:03,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,406,E,Pennsylvania,Ave,,,,,
19-000453,Person 3,7/1/2019 0:00,1/1/1900 10:18,999,Completed,7/8/2019 0:00,1/1/1900 5:58,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,Philo,Rd,,,Trails,Dr,Marc Trail
19-000452,Person 3,7/1/2019 0:00,1/1/1900 10:17,999,Completed,7/8/2019 0:00,1/1/1900 6:00,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,Chatham,Ct,,,,,
19-000451,Person 3,7/1/2019 0:00,1/1/1900 10:15,999,Completed,7/8/2019 0:00,1/1/1900 6:09,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2016,S,George Huff,Dr,,,,,
19-000450,Person 3,7/1/2019 0:00,1/1/1900 10:14,999,Completed,7/8/2019 0:00,1/1/1900 6:00,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1308,,Laurel,Dr,,,,,
19-000449,Person 3,7/1/2019 0:00,1/1/1900 10:14,999,Completed,7/9/2019 0:00,1/1/1900 13:43,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1002,S,Busey,Ave,,,,,
19-000448,Person 3,7/1/2019 0:00,1/1/1900 10:13,999,Completed,7/8/2019 0:00,1/1/1900 6:01,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1208,,Beech,St,,,,,
19-000447,Person 3,7/1/2019 0:00,1/1/1900 10:12,999,Completed,7/8/2019 0:00,1/1/1900 6:04,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,803,,Grove,St,,,,,
19-000446,Person 3,7/1/2019 0:00,1/1/1900 10:11,999,Completed,7/8/2019 0:00,1/1/1900 6:08,,,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,210,W,Mumford,Dr,,,,,
19-000445,Person 3,7/1/2019 0:00,1/1/1900 10:10,999,Completed,7/8/2019 0:00,1/1/1900 6:10,,,ARBFRT,Trees,FORT10,Dangerous immediate,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,208,W,Oregon,St,,,,,
