Work Order Number,Creation Date,Start Date,End Date,Duration Actual(Hrs),Status Date,Task Code,Task Text,Resource Type,Resource Type Text,Resource,Resource Text,Unit Cost,Units,Total Cost,Default Unit Cost,Grand Total Units,Unit Cost-Regular Time,Unit Cost-Overtime,Override Unit Cost,Grand Total Cost,Time Cost,Time Cost Text,Unit of Measure,Unit of Measure Text,Additional Description
18-001812,11/2/2018,10/31/2018,10/31/2018,0,12/14/2018,STT3,Streetlight Relamps,3,Material,STTMAT-36,MP100/U/MED lamp (100W/MH/med),17.09,1,17.09,17.09,1,0,0,,17.09,,,2,Each,100W MH - 4B
18-000907,8/23/2018,8/23/2018,8/23/2018,0,12/17/2018,STT3,Streetlight Relamps,3,Material,BOUGHT,Bought Material,18.75,1,18.75,0,1,0,0,18.75,18.75,,,2,Each,100W MH Lamp (4B) - MC100/U/ET23.5/942
19-000839,6/13/2019,6/10/2019,6/10/2019,0,7/25/2019,STT6,Luminaire Rebuild,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,100W Quad-Tap HPS Ballast
18-000084,6/22/2018,6/22/2018,6/22/2018,0,12/14/2018,STT1,Inspection,3,Material,BOUGHT,Bought Material,1,1,1,0,1,0,0,1,1,,,2,Each,10K Ohm In-line Resistor
19-000856,6/14/2019,6/14/2019,6/14/2019,0,7/25/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,12 + 12 +12 Junction Box
18-000762,8/16/2018,8/16/2018,8/16/2018,0,12/17/2018,STT26,School Crossing Signals,3,Material,BOUGHT,Bought Material,58,1,58,0,1,0,0,58,58,,,2,Each,12 volt 26 amp hour sealed lead acid battery
18-000161,6/28/2018,6/27/2018,6/28/2018,8,12/14/2018,STT26,School Crossing Signals,3,Material,BOUGHT,Bought Material,80,1,80,0,1,0,0,80,80,,,2,Each,12 volt speed radar battery
19-000292,2/14/2019,2/8/2019,2/8/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,1,14,14,1,0,0,,14,,,2,Each,12x24 ahead
19-000217,2/7/2019,2/7/2019,2/7/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,0,0,14,0,0,0,,0,,,2,Each,12x24 ahead
19-000293,2/14/2019,2/8/2019,2/8/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,2,28,14,2,0,0,,28,,,2,Each,12x24 arrow
19-000223,2/7/2019,2/7/2019,2/7/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,1,14,14,1,0,0,,14,,,2,Each,12x24 arrow
19-000222,2/7/2019,2/7/2019,2/7/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,1,14,14,1,0,0,,14,,,2,Each,12x24 arrow
19-000219,2/7/2019,2/7/2019,2/7/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,1,14,14,1,0,0,,14,,,2,Each,12x24 arrow
19-000218,2/7/2019,2/7/2019,2/7/2019,0,4/2/2019,STT31,Sign Replacement,3,Material,"24"" x 24""","24"" x 24""",14,2,28,14,2,0,0,,28,,,2,Each,12x24 arrow
19-001285,8/20/2019,8/20/2019,8/20/2019,0,8/20/2019,STT58,General Sign Shop Work,3,Material,"24"" x 24""","24"" x 24""",14,16,224,14,16,0,0,,224,,,2,Each,18x24 plastic
19-000762,5/15/2019,5/15/2019,5/15/2019,0,5/15/2019,STT58,General Sign Shop Work,3,Material,"24"" x 24""","24"" x 24""",14,4,56,14,4,0,0,,56,,,2,Each,18x24 plastic
18-001805,11/2/2018,11/1/2018,11/1/2018,0,1/4/2019,STT58,General Sign Shop Work,3,Material,"24"" x 24""","24"" x 24""",14,2,28,14,2,0,0,,28,,,2,Each,18x24 plastic
18-000465,7/20/2018,7/16/2018,7/16/2018,0,12/17/2018,STT3,Streetlight Relamps,3,Material,BOUGHT,Bought Material,22,1,22,0,1,0,0,22,22,,,2,Each,2-Wire Ignitor Kit: GE - 35-967410-51 (35W-175W HPS)
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"2"" PVC Connector"
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"2"" Ridgid Steel Threaded Conduit Coupling"
19-000018,1/3/2019,1/3/2019,1/3/2019,0,1/7/2019,STT15,Misc. Electrical Maintenance,3,Material,BOUGHT,Bought Material,0,2,0,0,2,0,0,,0,,,,,20 Amp cord recepticale
18-000730,8/15/2018,8/15/2018,8/15/2018,0,10/23/2018,STT31,Sign Replacement,3,Material,"36"" x 36""","36"" x 36""",74,1,74,74,1,0,0,,74,,,2,Each,24 x 36 center turn
18-000110,6/25/2018,6/26/2018,6/26/2018,8,12/14/2018,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,300,1,300,0,1,0,0,300,300,,,2,Each,250W MH Lumec Sag-Lens Luminaire
18-000734,8/15/2018,8/15/2018,8/15/2018,0,12/17/2018,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,11.48,4.5,51.66,0,4.5,0,0,11.48,51.66,,,2,Each,3 inch IMC
18-000467,7/20/2018,7/17/2018,7/17/2018,0,12/17/2018,STT3,Streetlight Relamps,3,Material,BOUGHT,Bought Material,40,1,40,0,1,0,0,40,40,,,2,Each,3-Wire Ignotor (Capsule-type) GE - LI-553
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"3"" IMC Threaded Coupling"
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"3"" Steel All-Thread Conduit Nipple"
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"3"" to 2"" Reducing Conduit Nipple"
19-000236,2/8/2019,12/5/2018,12/5/2018,0,4/2/2019,FACT005,Misc. Electrical,3,Material,BOUGHT,Bought Material,0,2,0,0,2,0,0,,0,,,2,Each,"3/4"" Cast Fitting Cover w/ Weather-tight Gasket"
19-000236,2/8/2019,12/5/2018,12/5/2018,0,4/2/2019,FACT005,Misc. Electrical,3,Material,BOUGHT,Bought Material,0,2,0,0,2,0,0,,0,,,2,Each,"3/4"" Cast Threaded ""C"" Fitting"
19-000236,2/8/2019,12/5/2018,12/5/2018,0,4/2/2019,FACT005,Misc. Electrical,3,Material,BOUGHT,Bought Material,0,4,0,0,4,0,0,,0,,,2,Each,"3/4"" IMC 5"" Threaded Nipple"
19-001327,8/28/2019,8/28/2019,8/28/2019,0,8/28/2019,STT99,Replace,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,30 ft double bracket arm streetlight pole
19-001141,8/1/2019,8/1/2019,8/1/2019,0,8/1/2019,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,30 ft streetlight pole with 10 ft arm
18-000729,8/15/2018,8/15/2018,8/15/2018,0,9/18/2018,STT56,Sign and Pole Replacement,3,Material,"24"" x 30""","24"" x 30""",25,1,25,25,1,0,0,,25,,,2,Each,30 sl
18-000110,6/25/2018,6/26/2018,6/26/2018,8,12/14/2018,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,1500,1,1500,0,1,0,0,1500,1500,,,2,Each,30' Aluminum Davitt Pole w/ 10' Arm
19-001363,9/5/2019,9/4/2019,9/4/2019,0,9/5/2019,STT58,General Sign Shop Work,3,Material,"36"" x 9""","36"" x 9""",8,1,8,8,1,0,0,,8,,,2,Each,36x14
19-001009,7/17/2019,7/16/2019,7/16/2019,0,7/17/2019,STTT111,Fabricate Retirement Sign,3,Material,"36"" x 12""","36"" x 12""",12,1,12,12,1,0,0,,12,,,2,Each,36x14 historic
19-000787,5/30/2019,5/30/2019,5/30/2019,0,5/30/2019,STTT111,Fabricate Retirement Sign,3,Material,"36"" x 12""","36"" x 12""",12,1,12,12,1,0,0,,12,,,2,Each,36x14 historic
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,0.5,0,0,0.5,0,0,,0,,,2,Each,"4"" ID Ridgid Aluminum Threaded Conduit x 10'"
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"4"" PVC Conduit Cap"
19-000829,6/10/2019,6/5/2019,6/5/2019,0,6/5/2019,STT8,Pole Installation,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,"4""-to-3"" Threaded Steel Reducing Nipple"
18-001295,9/28/2018,9/28/2018,9/28/2018,0,9/28/2018,STT99,Replace,3,Material,BOUGHT,Bought Material,0,0,0,0,0,0,0,,0,,,,,40 ft Aluminum streetlight pole 14inch bolt circle
18-001821,11/5/2018,11/5/2018,11/5/2018,0,11/5/2018,STT56,Sign and Pole Replacement,3,Material,"24"" x 30""","24"" x 30""",25,1,25,25,1,0,0,,25,,,2,Each,40 mph
19-000048,1/8/2019,1/7/2019,1/7/2019,0,1/22/2019,STT6,Luminaire Rebuild,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,400 Watt HPS ballast kit
19-000048,1/8/2019,1/7/2019,1/7/2019,0,1/22/2019,STT6,Luminaire Rebuild,3,Material,BOUGHT,Bought Material,0,3,0,0,3,0,0,,0,,,2,Each,400 Watt MH ballast kit
19-001327,8/28/2019,8/28/2019,8/28/2019,0,8/28/2019,STT99,Replace,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,400 Watt MH luminaire
18-001366,10/6/2018,9/25/2018,9/25/2018,0,12/17/2018,STT3,Streetlight Relamps,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,400W Metal Halide Ballast from used/reclaimed stock
19-001007,7/17/2019,7/17/2019,7/17/2019,0,7/17/2019,STT56,Sign and Pole Replacement,3,Material,"48"" x 12""","48"" x 12""",40,1,40,40,1,0,0,,40,,,2,Each,48x24 double arrow
19-001122,8/1/2019,7/31/2019,7/31/2019,0,8/1/2019,STT58,General Sign Shop Work,3,Material,"24"" x 24""","24"" x 24""",14,6,84,14,6,0,0,,84,,,2,Each,6 24x18 plastic for cd
18-001990,12/5/2018,11/28/2018,11/28/2018,0,12/14/2018,STT15,Misc. Electrical Maintenance,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,6 ft helix foundation 14 inch bolt pattern
18-001287,9/28/2018,9/27/2018,9/27/2018,0,9/28/2018,STT99,Replace,3,Material,BOUGHT,Bought Material,0,0,0,0,0,0,0,,0,,,,,6 ft helix foundation with hardware 14 inch bolt circle
18-001985,12/5/2018,12/4/2018,12/4/2018,0,12/14/2018,STT7,Fault Repair,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,,,60 Amp fuse
18-001540,10/23/2018,9/28/2018,9/28/2018,0,12/14/2018,STT27,ESDA Sirens Maintenance,3,Material,BOUGHT,Bought Material,0,1,0,0,1,0,0,,0,,,2,Each,6Amp Ceramic Slo-Blow Fuse
19-000883,6/18/2019,,,64,7/19/2019,PKGT6,replace mechanism,3,Material,MECH,METER MECHANISM,65,1,65,65,1,0,0,,65,,,2,Each,8-830179
19-000825,6/7/2019,6/6/2019,6/6/2019,0,7/25/2019,STT10,Pole Maintenance,3,Material,BOUGHT,Bought Material,0,2,0,0,2,0,0,,0,,,2,Each,"9/16"" Split-Bolt Wire Connector (Kernie)"
18-001894,11/20/2018,11/7/2018,11/7/2018,0,12/14/2018,STT22,Preemption Maintenance,3,Material,BOUGHT,Bought Material,0,16,0,0,16,0,0,,0,,,LF,Linear Feet,A6 Coaxial Cable
18-001894,11/20/2018,11/7/2018,11/7/2018,0,12/14/2018,STT22,Preemption Maintenance,3,Material,BOUGHT,Bought Material,0,2,0,0,2,0,0,,0,,,2,Each,A6 Coxial Cable Connectors
18-000688,8/8/2018,8/8/2018,8/8/2018,0,12/17/2018,STT15,Misc. Electrical Maintenance,3,Material,BOUGHT,Bought Material,0.66,2,1.32,0,2,0,0,0.66,1.32,,,2,Each,AAA Alkaline Battery
18-000869,8/22/2018,8/29/2018,8/29/2018,0,12/17/2018,STT10,Pole Maintenance,3,Material,STTMAT-94,ATQR5 fuse (5-amp),4.87,2,9.74,4.87,2,0,0,,9.74,,,2,Each,actually 10 amp
18-002180,12/27/2018,12/10/2018,12/10/2018,0,12/27/2018,ST6,ADA Ramp Removal and Replacement,3,Material,BOUGHT,Bought Material,205.45,1,205.45,0,1,0,0,205.45,205.45,,,2,Each,ADA Tile
19-000878,6/18/2019,6/18/2019,6/18/2019,0,6/18/2019,STT56,Sign and Pole Replacement,3,Material,"18"" x 6""","18"" x 6""",5,1,5,5,1,0,0,,5,,,2,Each,all way
18-000638,8/6/2018,8/6/2018,8/6/2018,0,10/23/2018,STT32,New Sign Installation,3,Material,"9"" x 12""","9"" x 12""",14.95,1,14.95,14.95,1,0,0,,14.95,,,2,Each,all way
18-000637,8/6/2018,8/6/2018,8/6/2018,0,10/23/2018,STT32,New Sign Installation,3,Material,"9"" x 12""","9"" x 12""",14.95,1,14.95,14.95,1,0,0,,14.95,,,2,Each,all way
18-000198,7/2/2018,,,0,7/2/2018,PKGT2,clear coin jam,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,0,0,1,0,0,0,,0,,,2,Each,Allen Wrench
18-000155,6/27/2018,,,0,6/27/2018,PKGT2,clear coin jam,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,0.2,0.2,1,0.2,0,0,,0.2,,,2,Each,Allen Wrench
18-000154,6/27/2018,,,0,6/27/2018,PKGT2,clear coin jam,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,0,0,1,0,0,0,,0,,,2,Each,Allen Wrench
18-000153,6/27/2018,,,0,6/27/2018,PKGT2,clear coin jam,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,1,1,1,1,0,0,,1,,,2,Each,Allen Wrench
18-000143,6/27/2018,,,0,6/27/2018,PKGT3,remove foreign object,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,1,1,1,1,0,0,,1,,,2,Each,Allen Wrench
18-001620,10/25/2018,10/25/2018,10/25/2018,0,10/25/2018,STT56,Sign and Pole Replacement,3,Material,"18"" x 6""","18"" x 6""",5,1,5,5,1,0,0,,5,,,2,Each,allway
18-000188,6/29/2018,6/29/2018,6/29/2018,0,12/14/2018,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,40,1,40,0,1,0,0,40,40,,,2,Each,Aluminum tennon
18-000172,6/29/2018,6/28/2018,6/28/2018,0,6/29/2018,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,40,1,40,0,1,0,0,40,40,,,,,Aluminum tennon
18-000190,6/29/2018,6/28/2018,6/28/2018,0,12/14/2018,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,40,1,40,0,1,0,0,40,40,,,2,Each,Aluminum Tennon Base (for pole-mounting luminaries)
18-000616,8/3/2018,,,0,8/3/2018,PKGT16,other,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,1,1,1,1,0,0,,1,,,2,Each,Ant Spary
18-000617,8/3/2018,,,0,8/3/2018,PKGT16,other,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,0,0,1,0,0,0,,0,,,2,Each,Ant Spray
18-000089,6/22/2018,6/22/2018,6/22/2018,0,12/14/2018,STTVD,Vehicle Detection,3,Material,BOUGHT,Bought Material,6.12,1,6.12,0,1,0,0,6.12,6.12,,,2,Each,"APP RB15075 : 1-1/2"" x 3/4"" Reducing Bushing"
19-000700,5/2/2019,5/2/2019,5/2/2019,0,5/2/2019,STT31,Sign Replacement,3,Material,"12"" x 18""","12"" x 18""",5,2,10,5,2,0,0,,10,,,2,Each,arrow 12x24
19-000701,5/2/2019,5/2/2019,5/2/2019,0,5/2/2019,STT31,Sign Replacement,3,Material,"12"" x 18""","12"" x 18""",5,2,10,5,2,0,0,,10,,,2,Each,arrow12x24
19-001081,7/30/2019,,,0,7/30/2019,PKGT16,other,3,Material,MTR2,MISC METER PARTS 2,5,12,60,5,12,0,0,,60,,,2,Each,Assorted stickers
18-001175,9/21/2018,9/11/2018,9/11/2018,0,12/17/2018,STT3,Streetlight Relamps,3,Material,BOUGHT,Bought Material,6.98,1,6.98,0,1,0,0,6.98,6.98,,,2,Each,ATQR10 - 10Amp Fuse
18-000729,8/15/2018,8/15/2018,8/15/2018,0,9/18/2018,STT56,Sign and Pole Replacement,3,Material,"24"" x 24""","24"" x 24""",14,1,14,14,1,0,0,,14,,,2,Each,bike lane
19-000698,5/1/2019,5/1/2019,5/1/2019,0,5/1/2019,STT31,Sign Replacement,3,Material,"24"" x 30""","24"" x 30""",25,1,25,25,1,0,0,,25,,,2,Each,bike lane
19-000697,5/1/2019,5/1/2019,5/1/2019,0,5/1/2019,STT31,Sign Replacement,3,Material,"24"" x 30""","24"" x 30""",25,1,25,25,1,0,0,,25,,,2,Each,bike lane
19-000696,5/1/2019,5/1/2019,5/1/2019,0,5/1/2019,STT31,Sign Replacement,3,Material,"24"" x 30""","24"" x 30""",25,1,25,25,1,0,0,,25,,,2,Each,bike lane
18-000729,8/15/2018,8/15/2018,8/15/2018,0,9/18/2018,STT56,Sign and Pole Replacement,3,Material,"18"" x 6""","18"" x 6""",5,1,5,5,1,0,0,,5,,,2,Each,bla
19-001259,8/14/2019,8/13/2019,8/13/2019,0,8/14/2019,STT58,General Sign Shop Work,3,Material,"30"" x 12""","30"" x 12""",10,1,10,10,1,0,0,,10,,,2,Each,bolger
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW29,2009 INTL 4300 CHIPPER TRUCK,32.8,8,262.4,32.8,8,32.8,49.2,,262.4,1,REGULAR TIME,,,Brush chipping
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW36,2009 VERMEER BRUSH CHIPPER,24.8,8,198.4,24.8,8,24.8,37.2,,198.4,1,REGULAR TIME,,,Brush chipping
18-001911,11/21/2018,,,0,5/22/2019,LNDT27,Prune Trees,3,Material,BOUGHT,Bought Material,9,2,18,0,2,0,0,9,18,,,CY,Cubic Yards,Brush disposal
19-000894,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,3,Material,BOUGHT,Bought Material,9,36,324,0,36,0,0,9,324,,,CY,Cubic Yards,Brush disposal 6 loads @ 6 yds per load
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,3,Material,BOUGHT,Bought Material,9,138,1242,0,138,0,0,9,1242,,,CY,Cubic Yards,Brush disposal LRC 23 loads @ 6 yds. per load
19-000818,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000817,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000816,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000815,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000814,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000813,6/6/2019,,,488,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000812,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW100,2011 JD 544K ENDLOADER,60.71,8,485.68,60.71,8,60.71,91.065,,485.68,1,REGULAR TIME,,,Brush grinding
19-000812,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW27,2009 JOHN DEERE ENDLOADER,41.89,8,335.12,41.89,8,41.89,62.835,,335.12,1,REGULAR TIME,,,Brush grinding
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,8,253.52,31.69,8,31.69,47.535,,253.52,1,REGULAR TIME,,,Brush grinding
19-000818,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,8,253.52,31.69,8,31.69,47.535,,253.52,1,REGULAR TIME,,,Brush grinding
19-000816,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,8,253.52,31.69,8,31.69,47.535,,253.52,1,REGULAR TIME,,,Brush grinding
19-000815,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,8,253.52,31.69,8,31.69,47.535,,253.52,1,REGULAR TIME,,,Brush grinding
19-000814,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,8,253.52,31.69,8,31.69,47.535,,253.52,1,REGULAR TIME,,,Brush grinding
19-000813,6/6/2019,,,488,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,10,316.9,31.69,10,31.69,47.535,,316.9,1,REGULAR TIME,,,Brush grinding
19-000812,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW97,2012 JD 544K ENDLOADER,31.69,8,253.52,31.69,8,31.69,47.535,,253.52,1,REGULAR TIME,,,Brush grinding
19-000812,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,3,Material,BOUGHT,Bought Material,9,297,2673,0,297,0,0,9,2673,,,CY,Cubic Yards,"Brush hauled, 33 loads @ 9 yds. per load"
19-000814,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,3,Arbor Dump Trailer,0,8,0,0,8,0,0,,0,1,REGULAR TIME,,,Brush haulinbg
19-000817,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,3,Arbor Dump Trailer,0,8,0,0,8,0,0,,0,1,REGULAR TIME,,,Brush hauling
19-000815,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,3,Arbor Dump Trailer,0,8,0,0,8,0,0,,0,1,REGULAR TIME,,,Brush hauling
19-000813,6/6/2019,,,488,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,3,Arbor Dump Trailer,0,8,0,0,8,0,0,,0,1,REGULAR TIME,,,Brush hauling
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW07,2012 FORD F450 SMALL DUMP,25.42,6,152.52,25.42,6,25.42,38.13,,152.52,1,REGULAR TIME,,,Brush hauling
19-000817,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW07,2012 FORD F450 SMALL DUMP,25.42,8,203.36,25.42,8,25.42,38.13,,203.36,1,REGULAR TIME,,,Brush hauling
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW13,2011 FORD F450 SMALL DUMP,25.42,8,203.36,25.42,8,25.42,38.13,,203.36,1,REGULAR TIME,,,Brush hauling
19-000889,6/20/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW31,2011 INTRNTL DURASTAR,31.49,8,251.92,31.49,8,31.49,47.235,,251.92,1,REGULAR TIME,,,Brush hauling
19-000818,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW31,2011 INTRNTL DURASTAR,31.49,8,251.92,31.49,8,31.49,47.235,,251.92,1,REGULAR TIME,,,Brush hauling
19-000817,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW31,2011 INTRNTL DURASTAR,31.49,8,251.92,31.49,8,31.49,47.235,,251.92,1,REGULAR TIME,,,Brush hauling
19-000816,6/6/2019,,,0,8/26/2019,FORT17,Storm damage/cleanup,2,Equipment,PW31,2011 INTRNTL DURASTAR,31.49,8,251.92,31.49,8,31.49,47.235,,251.92,1,REGULAR TIME,,,Brush hauling
